A,425,
A's,938,
AA's,325,
AB's,652,
ABM's,61,
AC's,613,
ACTH's,293,
AI's,517,
AIDS's,383,
AM's,593,
AOL,186,
AOL's,178,
ASCII's,493,
ASL's,379,
ATM's,973,
ATP's,300,
AWOL's,149,
AZ's,860,
AZT's,57,
Aachen,656,
Aaliyah,151,
Aaliyah's,138,
Aaron,562,
Abbas,600,
Abbasid,5,
Abbott,115,
Abbott's,258,
Abby,980,
Abby's,464,
Abdul,422,
Abdul's,941,
Abe,96,
Abe's,315,
Abel,512,
Abel's,466,
Abelard,970,
Abelson,396,
Abelson's,786,
Aberdeen,941,
Aberdeen's,693,
Abernathy,776,
Abernathy's,886,
Abidjan,528,
Abidjan's,25,
Abigail,194,
Abilene,374,
Abner,196,
Abner's,22,
Abraham,163,
Abraham's,320,
Abram,32,
Abram's,647,
Abrams,65,
Absalom,647,
Abuja,269,
Abyssinia,114,
Abyssinia's,285,
Abyssinian,787,
Abyssinian's,79,
Ac,16,
Ac's,629,
Acadia,939,
Acadia's,76,
Acapulco,448,
Acapulco's,600,
Accenture,515,
Accenture's,856,
Accra,342,
Accra's,569,
Acevedo,746,
Acevedo's,58,
Achaean,67,
Achaean's,177,
Achebe,401,
Achebe's,839,
Achernar,992,
Acheson,232,
Acheson's,194,
Achilles,3,
Achilles's,846,
Aconcagua,212,
Aconcagua's,153,
Acosta,179,
Acosta's,791,
Acropolis,584,
Acrux,819,
Acrux's,132,
Actaeon,696,
Acton,100,
Acts,536,
Acuff,951,
Acuff's,196,
Ada,560,
Ada's,408,
Adam,946,
Adam's,153,
Adams,238,
Adan,596,
Adan's,604,
Adana,228,
Adar,670,
Adar's,840,
Addams,791,
Adderley,246,
Adderley's,605,
Addie,231,
Addie's,342,
Addison,205,
Adela,358,
Adela's,91,
Adelaide,84,
Adelaide's,766,
Adele,225,
Adele's,420,
Adeline,36,
Adeline's,89,
Aden,233,
Aden's,58,
Adenauer,344,
Adhara,485,
Adhara's,481,
Adidas,698,
Adidas's,387,
Adirondack,105,
Adirondack's,349,
Adirondacks,574,
Adirondacks's,620,
Adkins,16,
Adkins's,621,
Adler,931,
Adolf,64,
Adolf's,585,
Adolfo,246,
Adolfo's,519,
Adolph,553,
Adolph's,465,
Adonis,938,
Adonis's,573,
Adonises,700,
Adrian,480,
Adriana,902,
Adriana's,908,
Adriatic,477,
Adriatic's,241,
Adrienne,872,
Adrienne's,320,
Advent,214,
Advent's,648,
Adventist,14,
Adventist's,180,
Advents,598,
Advil,986,
Advil's,861,
Aegean,771,
Aegean's,647,
Aelfric,902,
Aelfric's,281,
Aeneas,746,
Aeneas's,898,
Aeneid,450,
Aeneid's,784,
Aeolus,922,
Aeolus's,52,
Aeroflot,792,
Aeroflot's,610,
Aeschylus,200,
Aeschylus's,949,
Aesculapius,952,
Aesculapius's,306,
Aesop,359,
Aesop's,174,
Afghan,833,
Afghan's,697,
Afghanistan,730,
Afghanistan's,896,
Afghans,397,
Africa,975,
Africa's,111,
African,674,
African's,908,
Africans,463,
Afrikaans,360,
Afrikaans's,340,
Afrikaner,760,
Afrikaner's,276,
Afrikaners,109,
Afro,866,
Afro's,683,
Afrocentrism,399,
Afros,57,
Ag,240,
Ag's,64,
Agamemnon,51,
Agamemnon's,204,
Agassi,269,
Agassi's,889,
Agassiz,944,
Agassiz's,438,
Agatha,753,
Agatha's,238,
Aggie,625,
Aglaia,570,
Agnes,390,
Agnew,296,
Agnew's,943,
Agni,760,
Agni's,284,
Agra,339,
Agricola,69,
Agrippa,936,
Agrippa's,971,
Agrippina,353,
Agrippina's,965,
Aguilar,936,
Aguilar's,971,
Aguinaldo,656,
Aguinaldo's,465,
Aguirre,205,
Aguirre's,290,
Agustin,80,
Agustin's,363,
Ahab,548,
Ahab's,8,
Ahmad,456,
Ahmad's,504,
Ahmadabad,943,
Ahmadinejad,760,
Ahmadinejad's,40,
Ahmed,118,
Ahmed's,428,
Ahriman,189,
Ahriman's,686,
Aida,792,
Aida's,793,
Aiken,311,
Aileen,769,
Aileen's,47,
Aimee,103,
Aimee's,52,
Ainu,875,
Airedale,834,
Airedale's,888,
Airedales,864,
Aisha,692,
Ajax,31,
Ajax's,987,
Akbar,71,
Akhmatova,614,
Akhmatova's,742,
Akihito,600,
Akita,826,
Akiva,125,
Akiva's,997,
Akkad,972,
Akron,447,
Akron's,302,
Al,914,
Al's,692,
Ala,342,
Alabama,320,
Alabama's,177,
Alabaman,890,
Alabaman's,358,
Alabamans,953,
Alabamian,13,
Alabamian's,780,
Alabamians,358,
Aladdin,564,
Aladdin's,768,
Alamo,473,
Alamo's,959,
Alamogordo,811,
Alamogordo's,199,
Alan,952,
Alan's,526,
Alana,668,
Alana's,991,
Alar,126,
Alar's,847,
Alaric,619,
Alaska,301,
Alaska's,709,
Alaskan,170,
Alaskan's,525,
Alaskans,218,
Alba,126,
Albania,905,
Albania's,104,
Albanian,222,
Albanian's,145,
Albanians,380,
Albany,403,
Albany's,17,
Albee,824,
Alberio,902,
Alberio's,281,
Albert,697,
Alberta,324,
Alberta's,597,
Alberto,168,
Alberto's,996,
Albigensian,78,
Albion,820,
Albireo,902,
Albireo's,281,
Albuquerque,548,
Albuquerque's,568,
Alcatraz,661,
Alcestis,186,
Alcibiades,864,
Alcindor,573,
Alcindor's,909,
Alcmena,22,
Alcmena's,319,
Alcoa,342,
Alcoa's,569,
Alcott,547,
Alcuin,131,
Alcyone,748,
Aldan,376,
Aldebaran,255,
Aldebaran's,740,
Alden,471,
Alderamin,986,
Alderamin's,261,
Aldo,856,
Aldo's,539,
Aldrin,15,
Aldrin's,635,
Alec,80,
Alec's,922,
Aleichem,576,
Aleichem's,306,
Alejandra,665,
Alejandra's,62,
Alejandro,10,
Alejandro's,23,
Alembert,875,
Alembert's,216,
Aleppo,733,
Aleppo's,317,
Aleut,668,
Aleut's,442,
Aleutian,397,
Aleutian's,855,
Alex,512,
Alex's,466,
Alexander,528,
Alexander's,875,
Alexandra,255,
Alexandria,329,
Alexandria's,595,
Alexei,353,
Alexei's,391,
Alexis,95,
Alfonso,750,
Alfonso's,718,
Alfonzo,585,
Alfonzo's,804,
Alford,715,
Alford's,928,
Alfred,775,
Alfreda,970,
Alfreda's,848,
Alfredo,599,
Algenib,164,
Algenib's,478,
Alger,887,
Algeria,799,
Algeria's,335,
Algerian,802,
Algerian's,360,
Algerians,170,
Algieba,799,
Algieba's,335,
Algiers,813,
Algiers's,78,
Algol,721,
Algol's,111,
Algonquian,95,
Algonquian's,802,
Algonquians,859,
Algonquin,19,
Algonquin's,956,
Alhambra,155,
Alhena,656,
Alhena's,473,
Ali,916,
Alice,64,
Alice's,219,
Alicia,619,
Alicia's,748,
Alighieri,994,
Alighieri's,87,
Aline,627,
Aline's,396,
Alioth,84,
Alioth's,757,
Alisa,557,
Alisa's,169,
Alisha,8,
Alisha's,434,
Alison,423,
Alison's,393,
Alissa,110,
Alissa's,127,
Alistair,884,
Alistair's,233,
Alkaid,426,
Alkaid's,783,
Allah,370,
Allah's,668,
Allahabad,444,
Allan,797,
Allan's,815,
Alleghenies,537,
Alleghenies's,194,
Allegheny,585,
Allegra,799,
Allegra's,335,
Allen,627,
Allende,36,
Allende's,89,
Allentown,350,
Allie,64,
Allie's,219,
Allison,304,
Allison's,229,
Allstate,730,
Allstate's,649,
Allyson,720,
Allyson's,436,
Alma,592,
Alma's,118,
Almach,869,
Almach's,963,
Almaty,699,
Almaty's,308,
Almighty,588,
Almighty's,176,
Almohad,250,
Almohad's,227,
Almoravid,754,
Almoravid's,29,
Alnilam,466,
Alnilam's,586,
Alnitak,177,
Alnitak's,652,
Alonzo,34,
Alonzo's,860,
Alpert,390,
Alpert's,762,
Alphard,852,
Alphard's,62,
Alphecca,94,
Alphecca's,787,
Alpheratz,816,
Alpheratz's,30,
Alphonse,828,
Alphonse's,975,
Alphonso,565,
Alphonso's,73,
Alpine,466,
Alpo,601,
Alpo's,881,
Alps,662,
Alps's,602,
Alsace,469,
Alsace's,184,
Alsatian,775,
Alsatian's,748,
Alsop,210,
Alsop's,15,
Alston,737,
Alston's,987,
Alta,896,
Altai,316,
Altai's,121,
Altaic,648,
Altaic's,84,
Altair,264,
Altamira,279,
Althea,479,
Althea's,796,
Altiplano,407,
Altiplano's,88,
Altman,175,
Altman's,139,
Altoids,767,
Altoids's,852,
Alton,100,
Alton's,253,
Aludra,567,
Aludra's,86,
Alva,237,
Alvarado,616,
Alvarado's,408,
Alvarez,20,
Alvarez's,514,
Alvaro,491,
Alvaro's,77,
Alvin,829,
Alvin's,21,
Alyce,250,
Alyce's,589,
Alyson,6,
Alyson's,240,
Alyssa,620,
Alyssa's,248,
Alzheimer,513,
Alzheimer's,324,
Am,785,
Am's,92,
Amadeus,205,
Amadeus's,274,
Amado,206,
Amado's,27,
Amalia,791,
Amalia's,680,
Amanda,386,
Amanda's,684,
Amarillo,520,
Amaru,32,
Amaru's,647,
Amaterasu,580,
Amaterasu's,600,
Amati,42,
Amazon,952,
Amazon's,870,
Amazons,771,
Amber,931,
Amber's,164,
Amelia,485,
Amelia's,22,
Amenhotep,765,
Amenhotep's,592,
Amerasian,304,
America,970,
America's,286,
American,56,
American's,664,
Americana,980,
Americana's,981,
Americanism,802,
Americanism's,514,
Americanisms,891,
Americanization,885,
Americanization's,107,
Americanizations,677,
Americanize,789,
Americanized,902,
Americanizes,566,
Americanizing,260,
Americans,828,
Americas,22,
Amerind,921,
Amerind's,186,
Amerindian,171,
Amerindian's,47,
Amerindians,918,
Amerinds,545,
Ameslan,188,
Ameslan's,701,
Amharic,984,
Amharic's,218,
Amherst,994,
Amie,663,
Amie's,358,
Amiga,476,
Amiga's,641,
Amish,589,
Amish's,588,
Amman,564,
Amman's,85,
Amoco,466,
Amoco's,48,
Amos,92,
Amparo,61,
Amparo's,589,
Ampere,708,
Ampere's,259,
Amritsar,673,
Amsterdam,943,
Amsterdam's,413,
Amtrak,49,
Amundsen,764,
Amur,244,
Amur's,419,
Amway,837,
Amway's,424,
Amy,995,
Amy's,92,
Ana,254,
Ana's,549,
Anabaptist,475,
Anabaptist's,433,
Anabel,653,
Anabel's,584,
Anacin,793,
Anacin's,213,
Anacreon,572,
Anaheim,669,
Analects,341,
Analects's,300,
Ananias,60,
Ananias's,34,
Anasazi,857,
Anastasia,273,
Anatole,802,
Anatole's,773,
Anatolia,175,
Anatolia's,207,
Anatolian,97,
Anatolian's,565,
Anaxagoras,943,
Anchorage,559,
Anchorage's,343,
Andalusia,908,
Andalusia's,807,
Andalusian,230,
Andaman,592,
Andean,916,
Andersen,578,
Andersen's,646,
Anderson,260,
Andes,995,
Andes's,942,
Andorra,760,
Andorra's,296,
Andre,471,
Andre's,319,
Andrea,896,
Andrea's,237,
Andrei,726,
Andrei's,779,
Andres,58,
Andretti,581,
Andretti's,56,
Andrew,382,
Andrew's,579,
Andrews,319,
Andrianampoinimerina,767,
Andrianampoinimerina's,870,
Android,408,
Android's,588,
Andromache,544,
Andromeda,800,
Andromeda's,545,
Andropov,240,
Andy,558,
Andy's,371,
Angara,404,
Angel,296,
Angel's,943,
Angela,306,
Angela's,692,
Angelia,548,
Angelia's,170,
Angelica,802,
Angelico,394,
Angelina,490,
Angelina's,786,
Angeline,623,
Angeline's,760,
Angelique,255,
Angelique's,748,
Angelita,666,
Angelita's,961,
Angelo,413,
Angelo's,450,
Angelou,925,
Angevin,423,
Angevin's,240,
Angie,296,
Angie's,943,
Angkor,727,
Anglia,962,
Anglican,42,
Anglican's,302,
Anglicanism,218,
Anglicanism's,642,
Anglicanisms,557,
Anglicans,815,
Anglicize,848,
Anglo,813,
Anglophile,899,
Angola,530,
Angola's,452,
Angolan,619,
Angolan's,335,
Angolans,667,
Angora,962,
Angora's,340,
Angoras,409,
Anguilla,647,
Anguilla's,361,
Angus,740,
Angus's,413,
Aniakchak,756,
Aniakchak's,301,
Anibal,831,
Anibal's,463,
Anita,890,
Anita's,257,
Ankara,717,
Ankara's,405,
Ann,292,
Ann's,464,
Anna,596,
Annabel,91,
Annabel's,784,
Annabelle,764,
Annabelle's,969,
Annam,984,
Annam's,518,
Annapolis,91,
Annapolis's,445,
Annapurna,711,
Annapurna's,353,
Anne,553,
Annette,179,
Annette's,221,
Annie,842,
Annie's,753,
Annmarie,150,
Annmarie's,526,
Anouilh,594,
Anselm,846,
Anselmo,296,
Anselmo's,770,
Anshan,730,
Anshan's,971,
Antaeus,890,
Antananarivo,718,
Antananarivo's,333,
Antarctic,496,
Antarctic's,165,
Antarctica,417,
Antarctica's,562,
Antares,890,
Antares's,504,
Anthony,114,
Antichrist,735,
Antichrist's,308,
Antichrists,245,
Antietam,144,
Antigone,136,
Antigone's,191,
Antigua,871,
Antigua's,338,
Antilles,169,
Antilles's,345,
Antioch,438,
Antipas,257,
Antipas's,80,
Antofagasta,286,
Antofagasta's,692,
Antoine,878,
Antoine's,241,
Antoinette,184,
Anton,23,
Anton's,972,
Antone,25,
Antone's,146,
Antonia,487,
Antonia's,600,
Antoninus,301,
Antonio,483,
Antonio's,726,
Antonius,475,
Antony,826,
Antony's,883,
Antwan,68,
Antwan's,551,
Antwerp,692,
Antwerp's,109,
Anubis,29,
Anubis's,849,
